id,event_id,date,last_seen,country,event_type,certainty,disinfo_subtype,info_class,info_type,threat_level,headline,summary,escalation_outcome,actors,platforms,spread,disinfo_confidence,detection_method,data_source,observation_count,status,content_observed,last_observation,source_urls,source_publishers,narrative_families
report_synthesis-041,report_synthesis-041,2026-12-01,2026-12-01,South Sudan,CONFIRMED,Confirmed Disinformation,,VERIFIED,DISINFO,,South Sudan December 2026 transitional period,South Sudans December 2026 transitional period identified as critical electoral activation risk window. Operationalize system-level monitoring by Q2 2026 before activation.,Escalated conflict risk during power transition,"[""['Government', 'Armed groups', 'Political actors']""]","[""['All narrative propagation channels']""]",3,CONFIRMED,report_synthesis,Catalogue,0,active,False,,,Report synthesis - South Sudan section,
APF-2026-03-18-049,APF-2026-03-18-049,2026-03-18,2026-03-18,Kenya,CONFIRMED,Confirmed Disinformation,coordinated_campaign,CORROBORATED,DISINFO,P2 HIGH,"#BBCForChaos, #BloodParliament: Kenya will not be a playground for BBC. The  documentary is a cheap hit job. BBC doesn't care bout Kenya, they care","Coordinated accounts are pushing hashtags #BBCForChaos and #BloodParliament, claiming BBC documentaries about Kenya are 'cheap hit jobs' that prioritize clicks and chaos over genuine reporting. The campaign frames BBC coverage as foreign interference designed to destabilize Kenya.",,"['@Yasirarafat2520', '@GabrielKim254']",['X (Twitter)'],5.0,HIGH,iris_direct_tracking,Catalogue,0,active,True,,https://x.com/Yasirarafat2520/status/1916831359156334618,https://x.com/Yasirarafat2520/status/1916831359156334618,Misinformation/Disinformation; Delegitimization
APF-2026-03-18-502,APF-2026-03-18-502,2026-03-18,2026-03-18,Kenya,CONFIRMED,Confirmed Disinformation,coordinated_campaign,CORROBORATED,DISINFO,P2 HIGH,Anti-Western conspiracy claims portray BBC and opposition as foreign tools to weaken Ruto's China ties,A coordinated campaign of 28 near-identical posts from 24 accounts promoted conspiracy narratives claiming Western powers are using BBC and domestic 'sell-outs' to undermine President Ruto because of his successful engagement with China. The campaign used hashtags #BBCForChaos and #BloodParliament to frame media criticism as foreign interference.,,"['@AminaTisha94086', '@mzeemzima100', '@miss_tokyo3', '@bonsoul_ke', '@WilliamKiptoo25', '@PeterKariukiKE', '@Merc13Nyambura', '@KenyaWeWant_', '@KKCommetary', '@BiancaNaom1']",['X (Twitter)'],5.0,HIGH,iris_direct_tracking,Catalogue,0,active,True,,https://x.com/KenyaWeWant_/status/1916927940643717517,https://x.com/KenyaWeWant_/status/1916927940643717517,Misinformation/Disinformation; Delegitimization
APF-2026-03-18-690,APF-2026-03-18-690,2026-03-18,2026-03-20,Kenya,CONFIRMED,Confirmed Disinformation,misinformation,CORROBORATED,MISINFO,P2 HIGH,Coordinated campaign targets former Deputy President Gachagua with fraud claims and drought imagery,"A coordinated disinformation campaign involving 15 accounts and 19 near-identical posts is targeting Kenya's former Deputy President Gachagua with claims about BBS Mall fraud and NCIC petitions. The campaign also includes drought-related imagery from an unspecified county, suggesting a multi-pronged attack on his reputation.",,"['@Lyre__Bird', '@_Shekhe', '@kenyamzeesiraj', '@Bish311437', '@MohamedAbuno', '@KBCChannel1', '@TheDailySomalia', '@richardmuthiora', '@boyengo', '@MunaMunahamed', '@noormuktar99', '@IamMzalendo', '@ObinnaWaGikomba', '@TariqKwame', '@ChrisKipyegon_', '@AminaTisha94086', '@ToonchiArts', '@Mastermastin_GO', '@OjiamboRashid', '@D_KKinuthia']",['X (Twitter)'],5.0,HIGH,iris_direct_tracking,Catalogue,2,active,True,2026-03-19,https://x.com/Lyre__Bird/status/2033881544545169885; https://x.com/noormuktar99/status/1929647018261061920,https://x.com/Lyre__Bird/status/2033881544545169885; https://x.com/noormuktar99/status/1929647018261061920,Ethnic Incitement; Misinformation/Disinformation
APF-2026-03-18-987,APF-2026-03-18-987,2026-03-18,2026-03-18,Somalia,CONFIRMED,Confirmed Disinformation,propaganda,CORROBORATED,PROPAGANDA,P2 HIGH,Coordinated false claims of Al-Shabaab attack in Kismayo hotel spread across multiple accounts,"Nine near-identical posts across social media accounts falsely claimed Al-Shabaab carried out a deadly hotel bombing in Kismayo, Somalia, citing Reuters as a source. The coordinated amplification pattern suggests an organized disinformation campaign potentially aimed at inflaming tensions or undermining security confidence.",,"['@grok', '@hirad63', '@Sooreyare', '@war_doon', '@Warfidiye', '@DKNExCDN', '@11Abuker', '@Halgamaassc99', '@MohamedDekAbdal']",['X (Twitter)'],5.0,HIGH,iris_direct_tracking,Catalogue,0,active,True,,https://x.com/Halgamaassc99/status/1934568198529028527,https://x.com/Halgamaassc99/status/1934568198529028527,Attack Claim; Recruitment; Misinformation/Disinformation
research_som-2030,research_som-2030,2026-03-18,2026-03-18,Somalia,CONTEXT,Context Event,,OBSERVED,PROPAGANDA,P2 HIGH,"Somalimemo publishes al-Shabaab attack claims across Galgaduud, Gedo, Middle Shabelle plus execution content from Jilib","Somalimemo published extensive al-Shabaab propaganda content on March 18, including attack claims across Galgaduud, Gedo, and Middle Shabelle regions, Sharia court execution footage from Jilib, and audio from spokesperson Abu-Muscab regarding Kismaayo operations. The content also featured UN prisoner-of-war propaganda materials.",,"['Somalimemo', 'Abu-Muscab']",['Web (somalimemo1.com)'],3,MEDIUM,iris_direct_tracking,Catalogue,0,active,False,,https://somalimemo1.com,https://somalimemo1.com,
APF-2026-03-17-153,APF-2026-03-17-153,2026-03-17,2026-03-22,Kenya,CONFIRMED,Confirmed Disinformation,coordinated_campaign,CORROBORATED,DISINFO,P2 HIGH,"#ChaosCartel: Claims Kenya protests are ""paid goons"" and ""foreign-backed media selling a lie"" to destabilize the country","Posts claim Kenya's street protests are not genuine but ""a transaction"" with ""paid goons, staged slogans, and foreign-backed media selling a lie."" The narrative frames activists as a ""franchise"" for chaos with ""teams for graphics, slogans, violence, and media relations."" Deputy President Gachagua is accused of secretly planning destabilization while publicly supporting protesters. 8 near-identical posts from 7 accounts suggest coordinated amplification. Campaign hashtags: #ChaosCartel, #SiriNiNumbers.",,"['@BiancaNaom1', '@KKCommetary', '@TabbyKanyungu', '@mzeemzima100', '@miss_tokyo3', '@LensEmpress', '@SassyOnchain', '@nasrah_cutie', '@kanairofinest', '@kasongoKbb', '@Mista_254', '@ZeroG_Lies', '@hosea606666', '@PeterKariukiKE', '@Yasirarafat2520', '@GabrielKim254', '@IamMzalendo', '@BigstarKe', '@bonsoul_ke', '@Merc13Nyambura', '@hezwachira']",['X (Twitter)'],5.0,HIGH,iris_direct_tracking,Catalogue,5,active,True,2026-03-22,https://x.com/LensEmpress/status/1938221673205092526; https://x.com/nasrah_cutie/status/1925541462256550160; https://x.com/Yasirarafat2520/status/1916831359156334618,https://x.com/LensEmpress/status/1938221673205092526; https://x.com/nasrah_cutie/status/1925541462256550160; https://x.com/Yasirarafat2520/status/1916831359156334618,Misinformation/Disinformation; Delegitimization
APF-2026-03-17-841,APF-2026-03-17-841,2026-03-17,2026-03-20,Somalia,CONFIRMED,Confirmed Disinformation,propaganda,CORROBORATED,PROPAGANDA,P2 HIGH,Four soldiers killed in ambush near Halgan town in Hiiraan region - unverified claim amplified by coordinated accounts,"Nine coordinated X accounts are amplifying identical posts claiming four soldiers were killed in an ambush near Halgan town in Hiiraan region, attributed to 'Shahada Agency.' The coordinated amplification pattern suggests potential disinformation about security incidents in Somalia.",,"['@Sooreyare', '@11Abuker', '@hirad63', '@MohamedDekAbdal', '@Halgamaassc99', '@war_doon', '@AfricanReports', '@VowedVeteran', '@Warfidiye', '@BVD_Culture', '@grok', '@thepushpesh', '@Ovox_007', '@ZMiST_Ua']",['X (Twitter)'],5.0,HIGH,iris_direct_tracking,Catalogue,2,active,True,2026-03-18,https://x.com/AfricanReports/status/883728480881475585; https://x.com/Halgamaassc99/status/1934568198529028527,https://x.com/AfricanReports/status/883728480881475585; https://x.com/Halgamaassc99/status/1934568198529028527,Attack Claim; Recruitment; Misinformation/Disinformation
APF-2026-03-17-895,APF-2026-03-17-895,2026-03-17,2026-03-20,South Sudan,CONFIRMED,Confirmed Disinformation,propaganda,CORROBORATED,PROPAGANDA,P2 HIGH,Claims Turkish analyst Umut Çağrı Sarı echoes ISIS propaganda in coverage of Puntland counterterror operations,"Posts claim Turkish geopolitical commentator Umut Çağrı Sarı is pushing narratives similar to ISIS propaganda regarding Puntland's counterterrorism operations, suggesting coordination between pro-Turkish analysts and extremist media outlets. The claims appear to target Turkish influence in the Horn of Africa.",,['@CirkaNews'],['X (Twitter)'],1.0,HIGH,iris_direct_tracking,Catalogue,1,active,True,2026-03-17,https://x.com/CirkaNews/status/1934975949189382447,https://x.com/CirkaNews/status/1934975949189382447,Attack Claim; Recruitment
research_ssd-2027,research_ssd-2027,2026-03-17,2026-03-17,South Sudan,POTENTIAL,Potential Disinformation,,REPORTED,DISINFO,P3 MODERATE,False health rumours about President Kiir weaponized by diaspora group PCCA to invoke constitutional incapacity provisions,False rumours circulated about President Kiir's health during South Africa visit. Diaspora group PCCA used video clips to claim cognitive decline and invoked Articles 102(d) and 103(6). Opinion piece debunked claims as 'political weaponization of a fictional situation.',,"[""People's Coalition for Civil Action (PCCA)""]","['Facebook', 'Social media']",3,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.radiotamazuj.org/en/news/article/opinion-stop-health-rumours-constitutional-lies-the-president-is-fine,https://www.radiotamazuj.org/en/news/article/opinion-stop-health-rumours-constitutional-lies-the-president-is-fine,
