claim,country,actors,keywords
Government troll network manufactures pro-government trends,Kenya,Kenya government troll network,paid bloggers; manufactured trends
"Network earns KES 25,000-50,000 per day for manipulation operations",Kenya,Individual paid operators,troll payments; social media manipulation
South Sudanese civilians killed by Sudanese Armed Forces and allied militias in Wad Madani,South Sudan,South Sudanese youth/mobs,Wad Madani; Sudanese Armed Forces; El Gezira
Kikuyu community complicit in political capture under President Ruto,Kenya,Political operatives; Opposition-aligned influencers,#43against1; Kikuyu; political capture
US airstrikes in Somalia constitute foreign aggression on Muslim lands,Somalia,ISIS-Somalia,foreign aggression; Muslim lands; US airstrike; AFRICOM
Abdirahman Shirwac's surrender was fabricated by Puntland authorities,Somalia,ISIS-Somalia,Shirwac surrender; fabricated; Puntland authorities
Shirwac's surrender was coerced rather than voluntary,Somalia,ISIS-Somalia,coerced surrender; Shirwac; Puntland
AI-generated images depicting President Ruto in a coffin,Kenya,Gideon Kibet; Billy Mwangi,AI-generated; President Ruto; coffin
Hate speech targeting ethnic communities,South Sudan,Political figures; Ethnic community networks,hate speech; ethnic; communities
SSPDF claims SPLA-IO launched large-scale offensive justifying airstrikes,South Sudan,SSPDF,SSPDF; SPLA-IO; offensive; airstrikes
ISIS-Somalia battlefield victories and territorial control,Somalia,Islamic State Somalia,ISIS-Somalia; battlefield; victories; Puntland
Recruitment messaging targeting Puntland audiences,Somalia,Islamic State Somalia,recruitment; Puntland; ISIS
Russian media expansion serves Ethiopian and Russian national interests,Regional,Sputnik Africa; Russian Embassy Kenya,Russian media; Ethiopian interests; national interests
150+ government casualties during Operation Ramadan,Somalia,Shahada News Agency,Operation Ramadan; government casualties; Shahada News
Somalia is a viable territory for Islamic State territorial consolidation,Somalia,IS-Somalia Province; Islamic State Central Media,ISIS Somalia; tamkin; jihadist sanctuary
Somalia offers opportunity for hijra (migration to jihad territory),Somalia,IS-Somalia Province,hijra; ISIS Somalia; foreign fighters
President Ruto is planning to remove the Chief Justice ahead of 2027 elections due to her ethnicity,Kenya,Rigathi Gachagua,Chief Justice; ethnicity; 2027 elections
Ethiopian airstrikes killed civilians including mothers and children in El Ba'ad,Somalia,Al-Shabaab; Shahada News Agency,Ethiopian airstrikes; civilian casualties; El Ba'ad
Ethiopian strikes constitute foreign aggression against Muslims,Somalia,Al-Shabaab sympathizers,foreign aggression; Muslims; Ethiopian strikes
Al-Shabaab can penetrate any soft target and eliminate anti-AS community leaders,Somalia,Al-Shabaab; Shahada News Agency,Cairo Hotel; clan elders; soft targets
Civilians in military zones can be lawfully targeted by government forces,South Sudan,Information Minister Michael Makuei Lueth; SSPDF,military zone; civilian targeting; Nasir; Longechuk; Ulang
Government aerial attacks using incendiary weapons are justified military operations,South Sudan,SSPDF; UPDF,incendiary weapons; aerial attacks
Presidential assassination attempt marks 'new phase of urban warfare',Somalia,Al-Shabaab,urban warfare; presidential assassination; Mogadishu
Somali government is collapsing due to Al-Shabaab territorial gains,Somalia,Al-Shabaab; Al-Kataib Media Foundation,government collapse; Al-Shabaab control; Mogadishu
Riek Machar placed under house arrest by South Sudan security forces,South Sudan,NSS; SPLM-IO,house arrest; Machar; peace agreement collapsed
Hanifa Adan is a foreigner,Kenya,State-aligned trolls,ToxicActivists; foreigner
Hanifa Adan is a Somali terrorist,Kenya,State-aligned trolls,ToxicActivists; terrorist; Somali
Somalia is the new ideal sanctuary and destination for foreign jihadi fighters,Somalia,Islamic State Central Media; IS-Somalia Province,hijra; foreign fighters; sanctuary; jihad frontline
ISIS territorial gains in Puntland and central Somalia represent divine validation of tamkin consolidation strategy,Somalia,IS-Somalia Province,tamkin; divine validation; territorial gains; Puntland
Houthis have capability to strike US military base Camp Lemonnier in Djibouti,Regional,IRGC (Iran); Houthis,Camp Lemonnier; Djibouti; strike capability
Gen Z protests are foreign-funded and illegitimate,Kenya,527 bloggers network; State House Kenya,Gen Z protests; foreign funding; illegitimate protests
State-sponsored social media manipulation to discredit youth movements,Kenya,Kenyan government; 527 bloggers,state trolls; social media manipulation; youth discrediting
Al-Shabaab operates legitimate Islamic governance and judicial system,Somalia,Al-Shabaab; Shahada News Agency,Islamic governance; Sharia court; legitimate authority
ISIS-Somalia recruitment propaganda targeting Ethiopian and Kenyan audiences,Somalia,ISIS-Somalia; Manjaniq Media,ISIS-Somalia; Manjaniq Media; recruitment; Ethiopia; Kenya
Russian-backed Pravda Network contaminating Wikipedia articles with false information,Regional,Pravda Network; TigerWeb; Russian-backed operatives,Pravda Network; Wikipedia contamination; Russian disinformation
Fake news domains being cited as legitimate sources in AI chatbot responses,Regional,Pravda Network; Russian-backed operatives,AI chatbot manipulation; fake news domains; knowledge contamination
Al-Shabaab killed 100 soldiers in Damaanyo base bombing,Somalia,Al-Shabaab,Damaanyo; casualty inflation; Telegram
Al-Shabaab killed 100 soldiers in Damaanyo bombing (actual ~20),Somalia,Al-Shabaab,casualty inflation; Telegram; recruitment
Wagner Group achieved 70-80% mission success rate in Africa operations,Regional,Wagner Group; Africa Corps,Wagner success rate; Africa operations
Syrian chemical weapons attacks are fake news,Regional,RT; Sputnik Africa; Russian government,Syrian chemical weapons; fake news; Russian training
Ukrainian war crimes reports are fabricated,Regional,RT; Sputnik Africa; Russian government,Ukrainian war crimes; fake news; Russian media
Al-Shabaab killed 47 government soldiers and militiamen in Moqokori attack,Somalia,Al-Shabaab; Shahada News Agency,Moqokori; casualty claims; SVBIED
Fabricated protest imagery showing foreign flags during July 2025 protests,Kenya,Pro-government troll networks,deepfakes; foreign flags; protests
Deepfake face-swaps used to discredit opposition leaders,Kenya,State-aligned propaganda operatives,deepfake; opposition leaders; face-swap
African Stream operates as independent pan-African media,Regional,African Stream; RT; Ahmed Kaballo,African Stream; pan-African media; RT covert operation
Luo communities are politically unreliable,Kenya,Political leaders; Ethnic community networks,Luo-Kikuyu; ethnic profiling
Kikuyu political dominance narratives,Kenya,Political leaders; Online influencers,Kikuyu dominance; political control
Bariire casualty figures are fabricated by government/AUSSOM,Somalia,Al-Shabaab,Bariire; casualty figures; fabricated
Major military victory at Bariire with 100+ militants killed,Somalia,Somali National Army; AUSSOM,Bariire victory; militant casualties
AQAP providing humanitarian aid to Gaza residents,Somalia,Al-Shabaab; AQAP; Shahada News Agency,AQAP; Gaza aid; jihadist narrative
NISA prison held Muslim prisoners unjustly,Somalia,Al-Shabaab,Muslim prisoners; apostate state; NISA prison
Somali government is an apostate state oppressing Muslims,Somalia,Al-Shabaab,apostate state; oppression; Muslim
NISA holds Muslim prisoners unjustly as political prisoners,Somalia,Al-Shabaab,Muslim prisoners; NISA; political prisoners
Somali government is an apostate state oppressing true Muslims,Somalia,Al-Shabaab,apostate state; oppression; true Muslims
"US, UK, Israel, UAE and 17-19 other countries finalizing Somaliland recognition to be announced November 2025",Somalia,AI-generated accounts; MiddleEast24; Visegrad24 network,Somaliland recognition; fake congressman; James O'Keefe
Raila Odinga died,Kenya,Nyeri Governor Mutahi Kahiga,Raila Odinga death; ethnic violence; 2007 post-election
Civil society activists are foreign agents,Kenya,Pro-government coordinated accounts,DogsOfWar; foreign agents; civil society
Open Society Foundation funding civil society as foreign interference,Kenya,Pro-government coordinated accounts,Open Society; foreign funding; civil society
AI-generated pornographic images targeting women activists,Kenya,State trolls,AI-generated; women activists; deepfakes
Islamophobic imagery targeting Somali-Kenyan journalists,Kenya,State trolls,Islamophobic; Somali-Kenyan; journalists
AI-generated pornographic deepfakes used by government against women protesters,Kenya,Kenyan State House; 527 bloggers,deepfakes; AI pornography; Gen Z protests
Kikuyu community should hold leadership in Nairobi based on their business dominance,Kenya,Rigathi Gachagua,tribal incitement; Kikuyu leadership; Nairobi politics
Ukrainian UN pilot is a prisoner of war rather than hostage,Somalia,Al-Shabaab,prisoner of war; Ukrainian pilot; UN hostage
Senator Faroole called for violence to happen in Mogadishu,Somalia,Unknown political actor; Somali Federal Government officials,Faroole; Mogadishu violence; deepfake; Kismayo conference
Senator Faroole invoked clan hostilities,Somalia,Unknown political actor; State-aligned media,clan hostilities; Faroole; Puntland opposition
Various misleading narratives about Banadir elections,Somalia,Opposition politicians; Diaspora-based accounts,Banadir elections; Mogadishu elections; election misinformation
Israel planning to use Somaliland for Palestinian displacement,Somalia,Somalia Federal Government,Palestinian displacement; Somaliland; Israel
Israel seeking Red Sea military position through Somaliland recognition,Somalia,Somalia Federal Government,Red Sea; military position; Israel; Somaliland
Israeli troops deployed in Awdal region of Somaliland,Somalia,TRT Afrika; Al Jazeera; Al Arabiya,Israeli troops; Awdal region; military deployment
Secret partition plots between Israel and Somaliland,Somalia,Pro-Somalia state media,partition plots; secret agreement; Israel Somaliland
AI-generated ethnic content targeting political figures,Kenya,Coordinated troll networks,deepfakes; AI-generated; ethnic content
Coordinated hashtag weaponization including #43against1,Kenya,Political operatives,#43against1; hashtag weaponization; coordinated networks
AI-generated deepfake videos showing political leaders making false statements,Kenya,Unknown political operators,deepfakes; AI-generated; political leaders
Coordinated hashtag manipulation campaigns targeting 2027 elections,Kenya,State-affiliated networks; Opposition-aligned networks,hashtag manipulation; 2027 elections; coordinated campaigns
Funds stolen in Minnesota fraud scandal were used to build BBS Mall in Eastleigh by Somali community,Kenya,Rigathi Gachagua,BBS Mall; Eastleigh; Minnesota fraud; Somali community
AI-generated images depicting President Ruto as dead,Kenya,Harrison Mumia,AI-generated; President Ruto; death imagery
UAE facilitating Israel's Somaliland recognition as hostile act against Somalia,Somalia,UAE; Gulf states,UAE Somalia; Somaliland recognition; Israel Somaliland
Various clan-based manipulation and disinformation targeting Mogadishu local elections,Somalia,Government-aligned communicators; Opposition politicians,Mogadishu elections; clan manipulation; Banadir council
SPLA-IO troops instructed to advance to Juba and dismantle anti-peace regime,South Sudan,SPLA-IO; Wisley Welebe Samson,march on Juba; dismantle regime
SSPDF given seven days to crush the rebellion in Jonglei,South Sudan,SSPDF; Paul Nang Majok,crush rebellion; seven days
Al-Shabaab propaganda praising attacks on Somali intelligence,Somalia,Al-Shabaab; Mahad Karate,intelligence attacks; propaganda speech
Urging young Somalis to join al-Shabaab,Somalia,Al-Shabaab; Mahad Karate,recruitment; young Somalis
Military orders to spare no civilian lives including elderly and children,South Sudan,Johnson Olony; SSPDF,spare no lives; civilian targeting
"Orders to destroy civilian homes, livestock, and property",South Sudan,Johnson Olony,destroy homes; civilian property
Gen. Johnson Olony issued 'spare no lives' statement targeting civilians,South Sudan,Gen. Johnson Olony; SSPDF,Olony; spare no lives; atrocities
MP Salasya made inflammatory remarks on social media targeting specific communities,Kenya,Peter Salasya,Salasya; hate speech; inflammatory remarks
US pressured Kenya to halt trade talks with China,Kenya,Unknown social media actors,Kenya China trade talks; US pressure Kenya; misrepresented Standard report
Anti-Somali hate speech by Deputy President Gachagua in church settings,Kenya,Rigathi Gachagua,anti-Somali; hate speech; church remarks; Gachagua
South Sudan government shows ethnic favoritism to Dinka in condemning civilian attacks,South Sudan,South Sudan government,ethnic favoritism; Dinka bias; government response; civilian attacks
Disputed ethnic attribution of Ruweng massacre perpetrators,South Sudan,Unidentified armed men,Ruweng massacre; ethnic attribution; Nuer group; retaliation
Russian-sponsored content targeting East African countries through Portal Kombat network,Regional,Pravda Network; TigerWeb; Russia-linked editors,Portal Kombat; Russian disinformation; Africa targeting; Pravda Network
AI-generated deepfake content targeting Kenya's 2027 elections,Kenya,Unknown AI disinformation actors,deepfake; 2027 elections; AI-generated; Kenya elections
Forged IFES documents circulating in Kenya,Kenya,Unknown AI disinformation actors,IFES impersonation; forged documents; electoral disinformation
Government's 10-Point reform agenda is a 'shameful charade',Kenya,Linda Mwananchi faction; Edwin Sifuna; Godfrey Osotsi,10-Point Agenda; reform charade; Zani Committee
BBC Africa Eye deliberately plots to destabilize Kenya and 'set Kenya on fire',Kenya,@AminaTisha94086; @DreamBoy254; @GabrielKim254,BBC Africa Eye; foreign plot; destabilize Kenya
Civil society activists Boniface Mwangi and Hanifa Adan are foreign-funded paid agents working against national interests,Kenya,coordinated troll network,Boniface Mwangi; Hanifa Adan; paid agents; foreign-funded
Kikuyu leadership is tribalist and divisive,Kenya,Kenya troll network,#43Against1; tribalist; Kikuyu; Gachagua
Ruto government represents unity of 43 tribes against Kikuyu divisiveness,Kenya,Kenya troll network,43 tribes; unity; Ruto; unifying
Kenya street protests are not genuine but paid transactions with goons,Kenya,coordinated X accounts,paid goons; ChaosCartel; staged protests
Protests are foreign-backed media operations selling lies,Kenya,coordinated X accounts,foreign-backed; media lies; destabilization
Gachagua secretly planning destabilization while publicly supporting protesters,Kenya,coordinated X accounts,Gachagua; secret planning; destabilization
Four soldiers killed in ambush attack near Halgan town in Hiiraan region,Somalia,coordinated X accounts; Shahada Agency,Halgan; Hiiraan; ambush; soldiers killed
Turkish analyst Umut Çağrı Sarı echoes ISIS propaganda,Somalia,@CirkaNews,Umut Çağrı Sarı; ISIS propaganda; Turkish analyst
Similarities between Turkish analyst and Manjaniq Media (ISIS-linked),Somalia,@CirkaNews,Manjaniq Media; Turkish; ISIS; Puntland
BBC documentary on Kenya is a cheap hit job for clicks and chaos,Kenya,@Yasirarafat2520; @GabrielKim254,BBC; cheap hit job; clicks; chaos
"BBC doesn't care about Kenya, only wants to create chaos",Kenya,@Yasirarafat2520; @GabrielKim254,BBC; chaos; foreign media
"Al-Shabaab bombed a hotel in Kismayo killing at least 3 people, as reported by Reuters",Somalia,@grok; @hirad63; @Sooreyare; @war_doon; @Warfidiye,Kismayo; hotel bombing; Al-Shabaab; Reuters
The West is using BBC and domestic sell-outs to weaken Kenya because Ruto is successful with China,Kenya,@AminaTisha94086; @mzeemzima100; @miss_tokyo3; @bonsoul_ke; @WilliamKiptoo25,BBC; chaos; Ruto; China; sell-outs
BBC is orchestrating chaos in Kenya,Kenya,@AminaTisha94086; @mzeemzima100; @miss_tokyo3; @bonsoul_ke; @WilliamKiptoo25,BBCForChaos; BBC; chaos cartel
President Kiir showed cognitive decline during South Africa visit requiring constitutional removal,South Sudan,People's Coalition for Civil Action (PCCA),Kiir; cognitive decline; constitutional incapacity; South Africa visit
Al-Shabaab conducted successful mortar attacks on Xalane military compound in Mogadishu,Somalia,Calamada; al-Shabaab,Xalane; mortar attack; Mogadishu; Calamada
"Al-Shabaab conducted attacks near Dhuusamareeb and other locations in Galgaduud, Gedo, and Middle Shabelle",Somalia,Somalimemo; al-Shabaab; Abu-Muscab,Dhuusamareeb; Galgaduud; Gedo; Middle Shabelle; Somalimemo
Deepfakes could swing close UK elections or referendums,Regional,@london.live.news,deepfakes; UK election; Sadiq Khan; AI recording
Former Deputy President Gachagua involved in BBS Mall fraud,Kenya,@Lyre__Bird; @_Shekhe; @kenyamzeesiraj; @Bish311437; @MohamedAbuno,Gachagua; BBS Mall; NCIC; fraud; Deputy President
BBS Mall owners petition NCIC over Gachagua's fraud claims,Kenya,@Lyre__Bird; @_Shekhe; @kenyamzeesiraj; @Bish311437; @MohamedAbuno,BBS Mall; NCIC; petition; Gachagua
