Code,Human-Readable Name,Short Name,Description,Family,Event Count,Status,Country
NAR-FP-001,Western Media = Misinformation; Russia Offers Truth to Africa,Russian Media Claims,"Russian state media's core claim: Western coverage of Africa is biased and false, while Russian media provides the authentic, unfiltered African perspective. TASS director framed Western media as 'third-party misinformation.' Embedded via Sputnik (Amharic, Swahili, radio), RT, TASS bureaus across Africa.",Foreign Influence,35,mapped,Regional
NAR-FP-002,Chinese Development = Win-Win; Western Aid = Neo-Colonialism,CCP Africa Narratives,"CCP narrative embedded via CGTN (4.5M Facebook followers), Xinhua (37 African bureaus), China Daily: Chinese development in Africa is mutually beneficial 'win-win' partnership, while Western engagement is exploitative neo-colonialism.",Foreign Influence,9,mapped,Regional
NAR-KE-001,Kenya Government Delegitimization,Kenya Government Delegitimization,Kenya governance delegitimization narrative (legacy code),Delegitimization,0,unmapped,Kenya
NAR-KE-002,"Somalis in Kenya = Criminals, Fraudsters, Terrorists",Anti-Somali Claims,"Political rhetoric and online campaigns falsely linking Kenya's Somali community to crime, fraud, and terrorism. Includes Gachagua's false claim about Minnesota fraud money building Eastleigh mall, and troll campaigns labeling Somali journalists as 'terrorists'.",Collective Blame,6,mapped,Kenya
NAR-KE-003,Coordinated Campaign Against Government/Opposition,Coordinated Campaign Against Government/Opposition,Coordinated inauthentic behavior and troll campaigns in Kenya (includes 003a and 003b),Coordinated Campaign,0,unmapped,Kenya
NAR-KE-003a,Protesters = Foreign-Backed Agents Destabilizing Kenya,Anti-Protest Disinfo,State-coordinated disinformation claiming Gen Z protesters and civil society activists are foreign-funded agents seeking to destabilize Kenya. Spread via paid troll networks (~20 operatives at KES 25-50K/day) using coordinated hashtags.,Delegitimization,31,mapped,Kenya
NAR-KE-003b,Government Critics Are Immoral/Criminal,Smear Campaigns,"Targeted character assassination of government critics using AI-generated content, Islamophobic imagery, and fabricated accusations. Women activists targeted with AI pornographic deepfakes. Journalists smeared as terrorists.",Delegitimization,29,mapped,Kenya
NAR-KE-004,Kikuyu = Political Oppressors / Must Lead (ethnic claims),Ethnic Power Claims,Competing ethnic claims: (a) Anti-Kikuyu campaigns claim 43 tribes are pitted against Kikuyu political capture (#43against1); (b) Pro-Kikuyu claims assert Kikuyu must lead Nairobi because of business dominance (Gachagua). Both polarize along ethnic lines.,Ethnic Incitement,15,mapped,Kenya
NAR-REG-001,State-Backed Regional Influence Operation,State-Backed Regional Influence Operation,Coordinated disinformation campaign by state or state-backed actors targeting the region,Foreign Influence Operation,0,unmapped,Regional
NAR-SO-001,Al-Shabaab Victory Claims & Casualty Fabrication,AS False Victories,"Al-Shabaab's systematic inflation of casualty numbers, fabrication of military victories, and staged combat footage. Shahada News and Al-Kataib consistently claim 2-5x actual casualties. Includes anti-recruitment messaging ('do not serve the apostate government').",Misinformation/Disinformation,57,mapped,Somalia
NAR-SO-002,Somaliland Recognition = Foreign Plot to Partition Somalia,Anti-Somaliland Disinfo,"Multi-actor disinformation claiming Somaliland recognition is a Western/Israeli conspiracy to partition Somalia. Includes fabricated diplomatic claims, fake accounts posing as officials, and AI-generated paid articles.",Misinformation/Disinformation,12,mapped,Somalia
NAR-SO-003,Western Military = Crusader Aggression on Muslim Lands,Crusader Aggression,"ISIS-Somalia and al-Shabaab framing Western/AFRICOM military operations as 'crusader aggression against Muslim lands.' Used to recruit, radicalize, and frame the Somali government as an 'apostate puppet' of foreign invaders.",Religious Distortion,10,mapped,Somalia
NAR-SO-004,Somalia = New Caliphate; Government Victories Are Fabricated,ISIS Caliphate Claims,"ISIS central media promoting Somalia as the new frontier for caliphate building. Includes counter-narratives claiming government military victories are fabricated (e.g., Shirwac surrender was 'coerced' and staged).",Existential Threat,22,mapped,Somalia
